STATION,STATION_NAME,DATE,EMXP,MXSD,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
GHCND:USC00028499,TEMPE ASU AZ US,20150401,84,0,140,0,367,39,310,100,204
GHCND:USC00028499,TEMPE ASU AZ US,20150501,267,0,465,0,406,100,328,146,238
GHCND:USC00028499,TEMPE ASU AZ US,20150601,48,0,99,0,439,144,400,215,309
GHCND:USC00028499,TEMPE ASU AZ US,20150701,58,0,104,0,417,189,393,243,317
GHCND:USC00028499,TEMPE ASU AZ US,20150801,226,0,859,0,444,183,409,244,326
GHCND:USC00028499,TEMPE ASU AZ US,20150901,201,0,364,0,417,144,375,215,294
GHCND:USC00028499,TEMPE ASU AZ US,20151001,74,0,189,0,400,83,322,153,237
GHCND:USC00028499,TEMPE ASU AZ US,20151101,69,0,143,0,306,0,237,47,141
GHCND:USC00028499,TEMPE ASU AZ US,20151201,43,0,63,0,283,-39,189,16,97
GHCND:US1MNDK0051,BURNSVILLE 1.2 ESE MN US,20140401,279,0,1051,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0051,BURNSVILLE 1.2 ESE MN US,20140501,343,-9999,772,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0051,BURNSVILLE 1.2 ESE MN US,20140601,643,-9999,2772,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0051,BURNSVILLE 1.2 ESE MN US,20140701,254,-9999,897,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0051,BURNSVILLE 1.2 ESE MN US,20140801,378,-9999,593,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0051,BURNSVILLE 1.2 ESE MN US,20140901,180,-9999,413,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0051,BURNSVILLE 1.2 ESE MN US,20141001,290,-9999,548,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0051,BURNSVILLE 1.2 ESE MN US,20141101,178,0,425,143,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0051,BURNSVILLE 1.2 ESE MN US,20141201,128,-9999,281,74,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0051,BURNSVILLE 1.2 ESE MN US,20150101,46,-9999,190,117,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0051,BURNSVILLE 1.2 ESE MN US,20150201,72,-9999,168,137,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0051,BURNSVILLE 1.2 ESE MN US,20150301,152,-9999,274,162,-9999,-9999,-9999,-9999,-9999
